X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-113.0125,48.5572222220001,199927,,DEFAULT,,,,1610377916327,,,MTBFAC,,,,,,,,,,,NS3G,,2021/01/09 21:59:59,,,,,,,,,NRCC,,,,,,ALLEY,,WF,FI,,,,,{B1DD68AA-13D3-4BE4-9FFB-F3597A3A1896},,0,0,0,0,1,0,,1,000001,1610377967540,,,,Glacier,MTBFAC,30035,,MTBFT,,Tribal,Other,,,,,,,NR10,BIA,MTBFA,US-MT,,,,,,2021-MTBFA-000001,No Decision,firecode,wfdss,,,,,,{6EA123B5-235E-4A0B-A237-8630B55AE627},2021/01/11 15:12:47,2021/01/11 15:11:56
-113.015555556,48.5527777780001,199928,,DEFAULT,,,,1610377963033,,,MTBFAC,,,,,,,,,,,NS3H,,2021/01/10 00:59:59,,,,,,,,,NRCC,,,,,,PIZZA,,WF,FI,,,,,{01254BE2-8F7F-45E0-9BC7-260D44893012},,0,0,0,0,1,0,,1,000002,1610378036543,,,,Glacier,MTBFAC,30035,,MTBFT,,Tribal,Other,,,,,,,NR10,BIA,MTBFA,US-MT,,,,,,2021-MTBFA-000002,No Decision,firecode,wfdss,,,,,,{F83D6432-796E-4370-B27C-3F98B2E056EC},2021/01/11 15:13:56,2021/01/11 15:12:43
-113.015555556,48.5527777780001,199929,,DEFAULT,,,,1610377963563,,,MTBFAC,,,,,,,,,,,NS3J,,2021/01/10 00:59:59,,,,,,,,,NRCC,,,,,,PIZZA,,WF,FI,,,,,{A9FC8F45-89C0-47F4-BA37-5DF741D89195},,0,0,0,0,1,0,,1,000002,1610377963563,,,,Glacier,MTBFAC,30035,,MTBFT,,,,,,,,,,NR10,BIA,MTBFA,US-MT,,,,,,2021-MTBFA-000002,No Decision,firecode,firecode,,,,,,{4D816B57-EAD0-46BF-82C7-836A541DF3BA},2021/01/11 15:12:43,2021/01/11 15:12:43
-117.9788,44.03751,199930,,DEFAULT,,,,1610378199193,51,0.1,ORVAC,,,,,,,,Unknown,,,,,2021/01/11 15:13:03,,,,,,,,,NWCC,,,,,,JUNIPER SPRINGS,,RX,FI,44.03751,-117.9788,,,{28DC8FC2-80D2-4989-8513-B7DA43A6BE1E},,0,0,0,0,0,0,,1,000004,1610400750450,,,,Malheur,ORVAC,41045,BLM,ORVAD,,,,,,,,,,NW12,BLM,ORVAD,US-OR,,,,,,2021-ORVAD-000004,No Decision,wildcad,wildcad,,,,,,{8052953A-FB43-4815-906C-8CE3E858EB63},2021/01/11 21:32:30,2021/01/11 15:16:39
-118.3265,33.92545,199934,,DEFAULT,,,,1610384588890,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 16:53:10,,,,,,,,,OSCC,,,,,,LAC-013057,,WF,FI,33.92545,-118.3265,,,{BE3ADAD5-3B19-4F82-893B-5CD9CC439DDB},,0,,,0,,,,1,013057,1610384642553,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013057,No Decision,lacocad,wfdss,,,,,,{A903179B-921F-4396-B2B7-3C5E414072CB},2021/01/11 17:04:02,2021/01/11 17:03:08
-117.97124,33.98608,199935,,DEFAULT,,,,1610386498970,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 17:26:21,,,,,,,,,OSCC,,,,,,LAC-013091,,WF,FI,33.98608,-117.97124,,,{1D062B09-2FA9-4054-9CAE-DE18853996CD},,0,,,0,,,,1,013091,1610386552400,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013091,No Decision,lacocad,wfdss,,,,,,{982E31BC-2E36-45DD-B5C1-4A5829FF741C},2021/01/11 17:35:52,2021/01/11 17:34:58
-116.4129,32.86816,199939,,DEFAULT,,,,1610391666717,1,1,CAMVIC,,,,,,,,Unknown,,,,,2021/01/01 17:22:06,,,,,,,,,OSCC,,,,,,DRD DISTRICT WIDE PILE BURNING,,RX,FI,32.86816,-116.4129,,,{19D5257D-C9C7-4654-8EC4-846B9D0D0BA6},,0,0,0,0,0,0,,1,000010,1610391666717,,,,San Diego,CAMVIC,06073,FS,CACNF,,,,,,,,,,SC11,FS,CACNF,US-CA,,,,,,2021-CACNF-000010,No Decision,wildcad,wildcad,,,,,,{097EF34F-B118-49DA-9AB9-79B1B1CA7340},2021/01/11 19:01:06,2021/01/11 19:01:06
-116.8314,33.36235,199940,,DEFAULT,,,,1610391670923,1,1,CAMVIC,,,,,,,,Unknown,,,,,2021/01/06 01:19:02,,,,,,,,,OSCC,,,,,,PALOMAR MOUNTAIN PILES,,RX,FI,33.36235,-116.8314,,,{BF1DA540-79AB-46E1-A2D5-5A51B4B18822},,0,0,0,0,0,0,,1,000041,1610391670923,,,,San Diego,CAMVIC,06073,FS,CACNF,,,,,,,,,,SC11,FS,CACNF,US-CA,,,,,,2021-CACNF-000041,No Decision,wildcad,wildcad,,,,,,{599C06CC-2BD5-410B-AEF4-0D4E9470ED48},2021/01/11 19:01:10,2021/01/11 19:01:10
-116.7391,32.8317,199941,,DEFAULT,,,,1610391888687,1,1,CAMVIC,,,,,,,,Unknown,,,,,2021/01/01 17:20:42,,,,,,,,,OSCC,,,,,,DRD DISTRICT WIDE PILE BURNING ADMIN,,RX,FI,32.8317,-116.7391,,,{7D6F656E-7106-48A5-B650-CFBA041EF0AC},,0,0,0,0,0,0,,1,000009,1610391888687,,,,San Diego,CAMVIC,06073,,,,,,,,,,,,SC08,FS,CACNF,US-CA,,,,,,2021-CACNF-000009,No Decision,wildcad,wildcad,,,,,,{7529DE89-37AD-47E7-837B-69829FCC2941},2021/01/11 19:04:48,2021/01/11 19:04:48
-118.14938,34.01172,199943,,DEFAULT,,,,1610392712923,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 19:12:37,,,,,,,,,OSCC,,,,,,LAC-013213,,WF,FI,34.01172,-118.14938,,,{8FF51EEF-AD0A-4A50-B33D-C7DC46A9D269},,0,,,0,,,,1,013213,1610392740060,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013213,No Decision,lacocad,wfdss,,,,,,{871F0C2D-D368-4EF0-A770-4BE75F731168},2021/01/11 19:19:00,2021/01/11 19:18:32
